id,question,answer,seed,master_seed,subject,subject_area,time_open,gold_reason,gold_reason_source,remarks
64,Is the role of kinetic and magnetic fluctuations important in solar flares?,C,plasma_physics,plasma_physics,physics,,08/2024,"Research indicates that kinetic and magnetic fluctuations play significant roles in the dynamics of solar flares. Studies have shown that magnetohydrodynamic (MHD) turbulence and fluctuations in magnetic fields can influence energy transfer and particle acceleration during flares. For instance, turbulent kinetic energy has been identified as a crucial component in the energy balance of solar flares, suggesting that these fluctuations may significantly contribute to the overall energy release during such events.  Despite the progress made, the exact mechanisms by which these fluctuations operate and their relative importance compared to other processes (like magnetic reconnection) are still not fully understood. ","[https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.118.155101, https://iopscience.iop.org/article/10.3847/1538-4357/ac2c65/pdf]",
65,Do protons and neutrons have an equal mass?,B,Astrophysical Probes of the Neutrino Mass Hierarchy,Astrophysical Probes of the Neutrino Mass Hierarchy,physics,,NA,"Protons and neutrons are both hadrons composed of quarks. A proton consists of two up quarks and one down quark, while a neutron consists of two down quarks and one up quark. The mass difference between up and down quarks contributes to the mass difference between protons and neutrons.",[https://juser.fz-juelich.de/record/283770/files/nic_2016_borsanyi.pdf],
66,Can interactions in string theories lead to the spontaneous breaking of Lorentz symmetry?,A,Standard Model,Non-abelian Anyons in Two-dimensional Systems,physics,,NA,"In the low-energy limit of string theories, effective field theories can emerge that include terms which spontaneously break Lorentz symmetry. These theories can incorporate background fields that have specific orientations, leading to a preferred direction in spacetime. For instance, certain configurations of string fields can yield vacuum states that do not respect Lorentz invariance, resulting in spontaneous symmetry breaking.",[https://arxiv.org/abs/2205.07044],
67,Is the specific heat capacity of a substance always constant over a wide temperature range?,B,chemistry,chemistry,chemistry,,NA,"The specific heat capacity can also depend on the pressure applied to a substance. For gases, the specific heat at constant pressure and at constant volume differ, and their values can change with varying pressure conditions. This means that under different pressure scenarios, the specific heat capacity can vary, further demonstrating that it is not a constant property.","[https://en.wikipedia.org/wiki/Specific_heat_capacity, https://www.engineeringtoolbox.com/specific-heat-capacity-gases-d_159.html]",
68,Can classical time parameter be emergent from a timeless quantum mechanical theory?,C,quantum_gravity,quantum_gravity,physics,,08/2024,"The concept of time emerging from a timeless theory is discussed in the context of quantum gravity and other advanced theoretical frameworks. Researchers are investigating how classical notions of time might arise from quantum states or processes, particularly in theories that unify quantum mechanics with general relativity. While there are various proposals and models suggesting that time can be emergent, there is no consensus or definitive proof. The relationship between time and quantum mechanics remains a significant area of research, with many unresolved questions about how classical time can be reconciled with quantum descriptions of reality.","[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8235759/, https://philsci-archive.pitt.edu/19704/1/TimeEmergence.pdf]",
69,Can a metal exhibit both high and low spin states in its complexes depending on the ligand field strength?,A,chemistry,chemistry,chemistry,,NA,"In high spin complexes, the crystal field splitting energy is small relative to the pairing energy of the electrons. As a result, electrons prefer to occupy higher energy orbitals rather than pairing up in the lower energy orbitals. This leads to a greater number of unpaired electrons, resulting in a high spin state. High spin complexes are typically formed with weak field ligands, such as halides (e.g., Cl⁻, Br⁻), which do not significantly split the d-orbitals. Conversely, in low spin complexes, the crystal field splitting energy is large compared to the pairing energy. This causes electrons to pair up in the lower energy orbitals before occupying the higher energy orbitals, resulting in fewer unpaired electrons.",[https://chem.libretexts.org/Courses/Duke_University/CHEM_210D:_Modern_Applications_of_Chemistry/3:_Textbook-_Modern_Applications_of_Chemistry/10:_Coordination_Chemistry/10.10:_High_Spin_and_Low_Spin_Complexes],
70,Does the stability of metal carbonyl complexes increase with an increase in the number of carbonyl ligands?,B,chemistry,chemistry,chemistry,,NA,"The stability of metal carbonyl complexes does not always increase with an increase in the number of carbonyl ligands. In fact, there is an optimal number of carbonyl ligands for each metal that provides the most stable complex. Beyond this optimal number, adding more carbonyl ligands can actually decrease the stability of the complex.  As more carbonyl ligands are added, the steric crowding around the metal center increases. This can lead to unfavorable interactions between the ligands, distorting the geometry and decreasing the stability of the complex.",[https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Inorganic_Coordination_Chemistry_%28Landskron%29/10:_Organometallic_Chemistry/10.02:_Ligands_in_Organometallic_Chemistry],
71,Does the multiplicity of a module equal its degree in projective variety?,B,Singular point of an algebraic variety,Geometric Analysis on Singular Spaces,mathematics,,,"The multiplicity of a module is primarily an algebraic concept that deals with local properties of varieties and their intersections, while the degree of a projective variety is a geometric property that describes global behavior. These two concepts arise in different contexts and serve different purposes in algebraic geometry.",[https://en.wikipedia.org/wiki/Multiplicity_theory],
72,Can the acoustic energy transfer from the ultrasonic transducer into the treated media be reduced using an ultrasonic horn?,B,Sonochemistry,Sonochemistry,chemistry,,NA,"The horn helps match the acoustic impedance between the ultrasonic transducer and the treated media. This matching is crucial for maximizing energy transfer efficiency. When the impedance is well-matched, more of the acoustic energy generated by the transducer is transmitted into the media rather than being reflected back. Hence, an ultrasonic horn is engineered to optimize and enhance this transfer.","[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230700/, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10221568/]",
73,Does the reaction mechanism of nucleophilic acyl substitution involve an addition step?,A,Nucleophilic substitution,Rate-Determining Solvent Effects,chemistry,,NA,"The mechanism begins with the nucleophile attacking the electrophilic carbon atom of the carbonyl group (C=O) in the acyl compound. This step is characterized as an addition step because the nucleophile adds to the carbonyl carbon, forming a tetrahedral intermediate.",[https://en.wikipedia.org/wiki/Acyl_group#Basic_condition],
74,Is the clique problem NP-complete?,A,Clique (graph theory),Graph Theory,mathematics,,NA,"Clique Problem is in NP.  For the clique problem, a solution is a set of vertices $$ S $$ that forms a clique of size at least $$ k $$. To verify this solution one can check if  $$ |S| \geq k $$ (takes constant time) and for each pair of vertices $$ u, v \in S $$, check if $$ (u, v) \in E $$ (takes time proportional to the number of edges, which is polynomial in the size of the graph). To prove that the clique problem is NP-hard, we need to show that every problem in NP can be reduced to the clique problem in polynomial time. This is typically done by providing a polynomial-time reduction from a known NP-complete problem to the clique problem. One such reduction is from the 3-SAT problem (a variant of the satisfiability problem) to the clique problem. Given a 3-SAT instance, we can construct a graph where each vertex represents a literal (variable or its negation) in a clause, and two vertices are connected by an edge if they represent literals that cannot be simultaneously true in any satisfying assignment. It can be shown that the 3-SAT instance is satisfiable if and only if the constructed graph contains a clique of size at least $$ k $$, where $$ k $$ is the number of clauses.",,
